noun,h_adj,h_verb,h_adj_norm,h_verb_norm,delta,ratio,tau_entropy,variety_adj,variety_verb
squinty,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
trespassing,3.1233934877364407,3.1556390622295662,0.9402351280702079,0.9499420132200561,-0.032245574493125595,0.9897816024401906,1.2988243596489604,10,10
psychohistory,1.0,0.0,1.0,0.0,1.0,,1.0,2,1
nettle,3.298605975652297,2.5216406363433186,0.672239560141085,0.9755037590061086,0.7769653393089784,1.3081189794100365,2.638802199294575,30,6
breakaway,0.9709505944546686,1.0,0.9709505944546686,1.0,-0.02904940554533142,0.9709505944546686,1.145247027726657,2,2
sérieuse,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
buff,4.48146627193671,1.5,0.913300629923857,0.9463946303571862,2.9814662719367098,2.98764418129114,1.433496850380715,30,3
bruising,5.3555611056521375,4.211260736432281,0.9030177532449775,0.9587787791912507,1.1443003692198568,1.2717239422675337,1.4849112337751127,61,21
tinnitus,2.292481250360578,1.0,0.9873179343530822,1.0,1.292481250360578,2.292481250360578,1.0634103282345888,5,2
peddling,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
reception,7.158968514079441,5.042365848769892,0.855688835637893,0.822668138317289,2.116602665309549,1.419763803101654,1.7215558218105351,330,70
thrift,3.77850207357611,1.0,0.9924218127618369,1.0,2.77850207357611,3.77850207357611,1.0378909361908153,14,2
readout,4.505867688027912,4.24598749581785,0.694080352892676,0.8929732814679487,0.259880192210062,1.0612060663075515,2.52959823553662,90,27
joke,6.709197230744006,4.577091169015143,0.7005217528846942,0.6581768711617677,2.132106061728863,1.4658211914506458,2.497391235576529,764,124
crow,6.09793105181916,5.500429484054676,0.7890778751764248,0.9649131919683489,0.5975015677644837,1.108628166127135,2.054610624117876,212,52
crore,0.0,2.5,0.0,0.967132018086354,-2.5,0.0,6.0,1,6
safeguard,5.879053368240501,3.9481218623084366,0.9273174232143566,0.8611023234513799,1.9309315059320644,1.489075964033963,1.363412883928217,81,24
warpage,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
détail,0.0,1.5,0.0,0.9463946303571862,-1.5,0.0,6.0,1,3
remove,4.575490356295904,0.0,0.9070445821703194,0.0,4.575490356295904,,1.464777089148403,33,1
mischief,5.842653892636951,4.89438819149174,0.8195289594690042,0.901981088786819,0.9482657011452114,1.1937455028176245,1.902355202654979,140,43
bareness,2.5577277787393196,1.0,0.9894641713470743,1.0,1.5577277787393196,2.5577277787393196,1.0526791432646285,6,2
mockup,2.099601752714581,0.0,0.9042492561839792,0.0,2.099601752714581,,1.478753719080104,5,1
escort,6.735382047354797,4.9684024566499945,0.8029766532696959,0.8517908694634387,1.7669795907048025,1.3556434097523191,1.9851167336515205,335,57
partook,1.0,0.0,1.0,0.0,1.0,,1.0,2,1
parchment,6.2692969065380675,5.803324000569728,0.8307121478722003,0.9436687212981115,0.4659729059683393,1.0802941393454153,1.8464392606389985,187,71
harden,3.3664803644233734,2.2221915755066783,0.778930211357695,0.8596610491977074,1.144288788916695,1.5149370565207851,2.105348943211525,20,6
arithmetic,3.458310496293752,2.845350936622437,0.6916620992587503,0.9484503122074791,0.6129595596713147,1.2154249417117333,2.541689503706248,32,8
triad,4.461444363849878,1.9219280948873623,0.9183741904969556,0.9609640474436811,2.539516268962516,2.321337814727844,1.4081290475152222,29,4
albedo,1.584962500721156,0.0,1.0,0.0,1.584962500721156,,1.0,3,1
simplicity,7.073415669501004,3.5436450333085068,0.8966467086489189,0.7221773064351454,3.529770636192497,1.996084710238865,1.5167664567554053,237,30
nigra,1.5566567074628228,0.0,0.9821410328348752,0.0,1.5566567074628228,,1.089294835825624,3,1
riverbank,5.250665681424206,4.636264182342953,0.921098361011428,0.9358256903592311,0.6144014990812527,1.1325208130764375,1.3945081949428602,52,31
buzzer,5.024891431391623,3.4358711743013988,0.8731519824675263,0.8088346996100476,1.5890202570902243,1.46247957984435,1.6342400876623682,54,19
emprise,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
clowning,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
trouble,4.7381073150169275,3.5425914599584005,0.5301890204523328,0.45526637893388705,1.195515855058527,1.3374692985548398,3.349054897738336,490,220
poem,7.243213642621937,5.422817340026845,0.8355415553174533,0.8353265638578244,1.8203963025950918,1.3356919823130313,1.8222922234127332,407,90
dictionary,6.371644852852735,4.303508854797679,0.9162302253872192,0.9797809312413268,2.068135998055056,1.4805697090060446,1.418848873063904,124,21
nikon,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
cdo,2.7954350293186323,0.0,0.7554332031445476,0.0,2.7954350293186323,,2.222833984277262,13,1
basque,3.0129665265669687,1.0,0.9504851140629739,1.0,2.0129665265669687,3.0129665265669687,1.2475744296851308,9,2
cowlick,4.164503032414752,2.75,0.9481334410890814,0.979569764547061,1.4145030324147516,1.5143647390599098,1.2593327945545931,21,7
defector,4.7996367629190315,2.9139770731827523,0.864084973898547,0.9713256910609175,1.8856596897362792,1.6471086224699403,1.679575130507265,47,8
baronetcy,0.0,2.5216406363433186,0.0,0.9755037590061086,-2.5216406363433186,0.0,6.0,1,6
bellow,6.9821255977766885,4.510495060686765,0.8965347915603982,0.8213065756804797,2.471630537089924,1.5479732277355815,1.5173260421980093,221,45
